source,id,formula,band_gap,n_refractive_index,k_extinction_coefficient,estimated_reflectance,has_ir_data,formation_energy_per_atom,density,spillage,priority
JARVIS,JVASP-4537,BaO,4.226,2.196823464307802,0.0,0.1401596104773405,True,,,,LOW
JARVIS,JVASP-52324,NbAlO4,3.271,2.19127055989594,0.0,0.1393456984216023,False,,,,LOW
JARVIS,JVASP-185338,SiO3,3.089,2.184414490582469,0.0,0.1383401496554762,False,,,,LOW
MP,mp-4571,CaZrO3,3.826000000000001,2.1709247031315173,0.0,0.1363597128957762,True,-3.670175069500003,4.60308451218168,,LOW
JARVIS,JVASP-30780,MgTi3O7,3.455,2.165502251211021,0.0,0.135562940323379,False,,,,LOW
MP,mp-755895,Ba3Zr2O7,3.0246000000000004,2.161137043317707,0.0,0.1349212365379982,True,-3.5195134820833345,6.028274906642524,,LOW
JARVIS,JVASP-137016,YAlO3,3.944,2.1605091992398457,0.0,0.1348289204782509,False,,,,LOW
JARVIS,JVASP-22929,Y2TiO5,3.583,2.158826841905884,0.0,0.1345815274071483,False,,,,LOW
JARVIS,JVASP-9792,CaTiSiO5,3.233,2.155597365001173,0.0,0.1341065272187369,False,,,,LOW
JARVIS,JVASP-35181,ZrSiO4,4.584,2.154661613030377,0.0,0.1339688697299808,False,,,,LOW
JARVIS,JVASP-9481,MgTiSiO5,3.327,2.152835339732233,0.0,0.1337001771252995,True,,,,LOW
JARVIS,JVASP-87050,Ba2ZrO4,3.761,2.138636637361912,0.0,0.1316097995395845,False,,,,LOW
JARVIS,JVASP-42341,Ca3WO6,4.271,2.1377168505986317,0.0,0.1314743041093942,False,,,,LOW
JARVIS,JVASP-50608,Mg2TiO4,3.925,2.13003912327137,0.0,0.1303429143323351,True,,,,LOW
MP,mp-30539,Y2WO6,3.3561,2.1210543667399633,0.0,0.1290181118040799,True,-3.2629290694444464,6.482148142368372,,LOW
JARVIS,JVASP-7765,Y2O3,5.365,2.111626545264732,0.0,0.1276270945222847,True,,,,LOW
MP,mp-19005,Y6WO12,3.474,2.1091340972067187,0.0,0.1272592050824894,True,-3.655784751578947,5.878680873802693,,LOW
JARVIS,JVASP-9692,TiAl2O5,3.456,2.1044476710053877,0.0,0.1265673245972502,False,,,,LOW
JARVIS,JVASP-7633,SiO2,3.209,2.0941107898103195,0.0,0.125040551736741,True,,,,LOW
JARVIS,JVASP-91631,Ba3CaO4,3.523,2.0646791518296492,0.0,0.1206889397301886,False,,,,LOW
JARVIS,JVASP-26131,Ba3Nb2O8,5.259,2.060744202143165,0.0,0.1201067076557132,False,,,,LOW
JARVIS,JVASP-50484,CaY2O4,4.45,2.0448553331063137,0.0,0.1177549035128967,False,,,,LOW
JARVIS,JVASP-36108,BaO2,3.265,2.0418129199316963,0.0,0.1173044472911088,True,,,,LOW
JARVIS,JVASP-35745,BaCaO2,3.608,2.0389131091507227,0.0,0.1168750709187956,True,,,,LOW
MP,mp-2605,CaO,3.6363,2.0146868960589157,0.0051265268449118,0.1132894600753109,True,-3.3060193924999997,3.3530837533637103,,LOW
JARVIS,JVASP-85600,Al2O3,2.686,2.004004324679299,0.0,0.1117043433428304,False,,,,LOW
MP,mp-779511,Ba2MgO3,3.5116000000000005,2.0037479826112694,0.0,0.1116663669297682,False,-2.864761999583333,5.213934897087081,,LOW
JARVIS,JVASP-35120,BaCa3O4,3.726,2.002123872291622,0.0,0.1114257587005385,True,,,,LOW
MP,mp-754979,Y3AlO6,4.374099999999999,1.9917166172257872,0.0,0.109883952700302,True,-3.823918631500001,4.965751106082984,,LOW
JARVIS,JVASP-12680,TiSi2O6,3.705,1.9784084512557056,0.0,0.1079125312534013,False,,,,LOW
JARVIS,JVASP-134397,CaSiO3,4.86,1.9629569531703948,0.0,0.1056241100812542,False,,,,LOW
JARVIS,JVASP-114175,CaO3,3.868,1.9583751768579312,0.0,0.1049456914523963,False,,,,LOW
MP,mp-19426,CaWO4,4.3504,1.953299708948566,0.0,0.1041942794493258,False,-2.7260620274999994,6.099854189123227,,LOW
JARVIS,JVASP-78494,CaO2,3.692,1.9454476776995744,0.0,0.1030320578411229,True,,,,LOW
JARVIS,JVASP-8175,Ca2SiO4,5.973,1.937377953145264,0.0,0.1018379873968909,True,,,,LOW
JARVIS,JVASP-50345,BaMgO2,5.413,1.9261792924509045,0.0,0.1001816703089693,True,,,,LOW
JARVIS,JVASP-36311,MgO,4.733,1.90934543757802,0.0,0.0976938454786641,True,,,,LOW
JARVIS,JVASP-115236,MgO2,4.336,1.8613704628579448,0.0,0.0906216094889545,False,,,,LOW
JARVIS,JVASP-10080,CaZrSi2O7,5.327,1.849387285922917,0.0,0.0888604580649904,False,,,,LOW
JARVIS,JVASP-118709,MgSiO3,5.255,1.8470517047446184,0.0,0.0885174986381565,False,,,,LOW
MP,mp-6661,BaTi(SiO3)3,3.0662000000000003,1.830342910495189,0.0,0.0860670371294415,True,-3.385292812738097,3.6597912239818258,,LOW
JARVIS,JVASP-57188,Y2Si2O7,6.84,1.820924673528992,0.0,0.0846883436504556,False,,,,LOW
MP,mp-6081,Ba2Ti(SiO4)2,3.7274,1.820897503979837,0.0,0.0846843692616465,True,-3.44362643102564,4.382018197873762,,LOW
JARVIS,JVASP-13367,Ca3SiO5,5.233,1.8114266937049004,0.0,0.0833000099634489,True,,,,LOW
JARVIS,JVASP-57435,CaAl2O4,6.934,1.8059346610550449,0.0,0.0824982166005508,False,,,,LOW
JARVIS,JVASP-8153,Mg2SiO4,6.328,1.8020266368730515,0.0,0.0819281344026169,True,,,,LOW
JARVIS,JVASP-58433,Al2SiO5,7.234,1.795317984833513,0.0,0.0809504317473302,False,,,,LOW
JARVIS,JVASP-95531,MgAl2O4,6.961,1.7924099233527282,0.0,0.0805269899582465,False,,,,LOW
JARVIS,JVASP-35133,CaAl2SiO6,6.663,1.7782763189860753,0.0,0.0784723679605372,False,,,,LOW
JARVIS,JVASP-57182,Ca4Al6O13,6.001,1.758721126273293,0.0,0.0756395179674341,True,,,,LOW
MP,mp-17694,Ca5Al6O14,4.226,1.7549946362691038,0.0,0.0751010860098959,False,-3.4410954873999997,2.9680869031080963,,LOW
JARVIS,JVASP-50664,MgAl10O16,6.208,1.7533967035442948,0.0,0.0748703485628904,False,,,,LOW
JARVIS,JVASP-54542,BaAl2O4,6.59,1.7484469298971208,0.0,0.0741561734285195,True,,,,LOW
JARVIS,JVASP-57520,Ca2Al2SiO7,6.518,1.746673027978238,0.0,0.0739004361632501,True,,,,LOW
MP,mp-1214228,BaZr(SiO3)3,4.6556,1.7378037557023902,0.0,0.0726234862937102,True,-3.4643032850000006,3.636809435282834,,LOW
MP,mp-6766,CaMg(SiO3)2,4.9716,1.7284273034563338,0.0,0.0712767121220609,True,-3.343864678,3.149491310838651,,LOW
JARVIS,JVASP-14248,Ca2MgSi2O7,6.9,1.721888498132211,0.0,0.070339549692656,True,,,,LOW
MP,mp-9338,Ba2MgSi2O7,4.4529000000000005,1.7152073616135552,0.0,0.0693837785202029,True,-3.363647231666667,4.2338320974446475,,LOW
MP,mp-560186,BaMgSiO4,4.113899999999999,1.707514980900607,0.0,0.0682856650534043,True,-3.3002201616666675,3.847069115974779,,LOW
JARVIS,JVASP-50014,Al2Si2O7,7.03,1.6839338862714692,0.0,0.0649358629804074,False,,,,LOW
MP,mp-4867,CaAl4O7,3.9994,1.6788062048173795,0.0,0.0642109380466382,False,-3.4639722058333344,2.8959074114390098,,LOW
MP,mp-19145,Ca4Al6WO16,3.8936,1.6535998034591082,0.0,0.0606670633746051,False,-3.2719391688888892,2.989164126573161,,LOW
JARVIS,JVASP-35117,BaAl2Si2O8,7.815,1.6292534077505152,0.0,0.0572777911251983,True,,,,LOW
JARVIS,JVASP-40636,Si2O5,4.531,1.6024252452662704,0.0,0.0535858099919837,True,,,,LOW
